Tabela de composicao em 100g de alimento;Energia (kcal);Proteina (g);Lipideos (g);Carboidratos (g);Calcio (mg);Ferro (mg);Retinol (mcg);Vitamina C (mg);Sodio  (mg);Restricao;Cod.
Carne, bovina, acem, sem gordura, cru;144.03;20.82;6.11;0;4.72;1.51;2;0;50;Liberado;0
Carne, bovina, almondegas, cruas;189;12.3;11.2;9.8;22;1.6;0;0;621;Liberado;0
Carne, bovina, bucho, cru;137.3;20.53;5.5;0;9.07;0.47;0;0;45;Liberado;0
Carne, bovina, capa de contra-file, com gordura, crua;216.91;19.2;14.96;0;5.86;1.51;4;0;58;Liberado;0
Carne, bovina, capa de contra-file, sem gordura, crua;131.06;21.54;4.33;0;6.5;2.04;0;0;79;Liberado;0
Carne, bovina, charque, cru;248.86;22.71;16.84;0;15.18;1.53;0;0;5875;Liberado;0
Carne, bovina, contra-file de costela, cru;202.44;19.8;13.07;0;3.16;1.56;3;0;39;Liberado;0
Carne, bovina, contra-file, com gordura, cru;205.86;21.15;12.81;0;3.67;1.31;4;0;44;Liberado;0
Carne, bovina, contra-file, sem gordura, cru;156.62;24;6;0;4.2;1.68;0;0;53;Liberado;0
Carne, bovina, costela, crua;357.72;16.71;31.75;0;0;1.2;5;0;70;Liberado;0
Carne, bovina, coxao duro, sem gordura, cru;147.97;21.51;6.22;0;2.95;1.89;2;0;49;Liberado;0
Carne, bovina, coxao mole, sem gordura, cru;169.07;21.23;8.69;0;2.99;1.89;3;0;61;Liberado;0
Carne, bovina, cupim, cru;221.4;19.54;15.3;0;3.57;1.13;3;0;47;Liberado;0
Carne, bovina, figado, cru;141.05;20.71;5.36;1.11;4.16;5.63;7936.7;0;76;Liberado;0
Carne, bovina, file mingnon, sem gordura, cru;142.86;21.6;5.61;0;2.93;1.92;4;0;49;Liberado;0
Carne, bovina, flanco, sem gordura, cru;141.46;20;6.22;0;2.81;1.58;2;0;54;Liberado;0
Carne, bovina, fraldinha, com gordura, crua;220.72;17.58;16.15;0;3.11;1.54;5;0;51;Liberado;0
Carne, bovina, lagarto, cru;134.86;20.54;5.23;0;2.59;1.32;2;0;54;Liberado;0
Carne, bovina, lingua, crua;215.25;17.09;15.77;0;5.04;1.7;0;0;73;Liberado;0
Carne, bovina, maminha, crua;152.77;20.93;7.03;0;2.83;1.15;3;0;37;Liberado;0
Carne, bovina, miolo de alcatra, sem gordura, cru;162.87;21.61;7.83;0;3.19;1.97;4;0;43;Liberado;0
Carne, bovina, musculo, sem gordura, cru;141.58;21.56;5.49;0;3.64;1.86;2;0;66;Liberado;0
Carne, bovina, paleta, com gordura, crua;158.71;21.41;7.46;0;4.36;1.76;0;0;65;Liberado;0
Carne, bovina, paleta, sem gordura, crua;140.94;21.03;5.67;0;3.62;1.93;3;0;66;Liberado;0
Carne, bovina, patinho, sem gordura, cru;133.47;21.72;4.51;0;3.3;1.78;2;0;49;Liberado;0
Carne, bovina, peito, sem gordura, cru;259.28;17.56;20.43;0;3.94;1.31;4;0;64;Liberado;0
Carne, bovina, picanha, com gordura, crua;212.88;18.82;14.69;0;2.42;1.71;3;0;38;Liberado;0
Carne, bovina, picanha, sem gordura, crua;133.52;21.25;4.74;0;3.39;2.13;0;0;61;Liberado;0
Carne, bovina, seca, crua;312.75;19.66;25.37;0;14.11;1.33;0;0;4440;Liberado;0
Carne, frango, caipira, inteiro, c/ pele, cozida, Gallus gallus;237;23.9;15.7;0.02;16.8;1.66;16.2;1.83;56.1;Liberado;0
Carne, frango, caipira, inteiro, s/ pele, cozida, Gallus gallus ;189;29.6;7.71;0.22;66.2;2.12;6.06;0.91;53.3;Liberado;0
Caruru, cru;34.03;3.2;0.59;5.97;455.3;4.46;1939;5.36;13.67;Liberado;0
Castanha-de-caju, torrada, salgada;570.17;18.51;46.28;29.13;32.59;5.22;0;0;125;Liberado;0
Castanha-do-Brasil, crua;642.96;14.54;63.46;15.08;146.34;2.31;0;0;1;Liberado;0
Catalonha, crua;23.89;1.87;0.28;4.75;56.8;3.08;0;7.33;9.39;Liberado;0
Catchup, tomate, molho;129;1.74;0.31;29.9;18;0.51;101.6;15.1;1114;Proibido;3
Cebola, crua;39.42;1.71;0.08;8.85;14;0.2;0;4.67;0.6;Liberado;0
Cebolinha, crua;19.52;1.87;0.35;3.37;79.85;0.65;279;31.78;1.6;Liberado;0
Cenoura, crua;30;1.12;0.21;4.56;21.4;0.47;740;5.12;11.1;Liberado;0
Cereais, milho, flocos, com sal;369.6;7.29;1.6;80.84;1.81;0.52;0;0;271.74;Liberado;0
Cereais, milho, flocos, sem sal;363.34;6.88;1.18;80.45;1.97;1.69;0;0;30.97;Liberado;0
Cereais, mingau, milho, infantil;394.43;6.43;1.09;87.27;218.81;3.03;21.42;109.37;399.4;Proibido;3
Cereais, mistura p/ mingau, (media diferentes sabores);371;5.19;1.31;86.1;413;15.5;0.3;54.8;543;Proibido;3
Cereais, mistura para vitamina, trigo, cevada e aveia;381.13;8.9;2.12;81.62;584.25;12.64;0;13.11;1163.26;Proibido;3
Cereal matinal, milho;365.35;7.16;0.96;83.82;142.92;3.05;36;17.29;654.54;Liberado;0
Cereal matinal, milho, acucar;376.56;4.74;0.67;88.84;56.42;3.9;31;14.55;405.31;Proibido;3
Cha (preto, camomila, erva-cidreira, capim-limao, etc.);1;0;0;0.3;0;0.02;0;0;3;Liberado;0
Cha mate organico;2.8;0.25;0;2.31;4.7;0.15;0;0.16;0.27;Liberado;0
Chambaril;242;24.22;15.42;0;8;2.81;0;0;67;Liberado;0
Chantilly;276.39;2.93;24.57;12.36;55.66;0.03;217.56;0.48;45.52;proibido para menores 3 anos;2
Cheiro verde (50% cebolinha verde, 50% salsa), cru;34;2.79;0.43;5.85;166;2.43;0;50.1;2.33;Liberado;0
Chicoria, crua;13.84;1.14;0.14;2.85;44.83;0.45;0;6.54;13.52;Liberado;0
Chips (salgadinho);558.86;5.08;35.25;55.41;2.47;3.05;7.5;0;601.77;Proibido;3
